Vampire Academy,"Action, Comedy, Fantasy","Rose Hathaway is a Dhampir","Mark Waters","Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne",2014,0,5.6,44111,10,11.0
Tusk,"Comedy, Drama, Horror","When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe","Kevin Smith","Justin Long, Michael Parks, Haley Joel Osment, Genesis Rodriguez",2014,0,5.4,34546,10,11.0
Sex Tape,"Comedy, Romance","A married couple wake up to discover that the sex tape they made the evening before has gone missing","Jake Kasdan","Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper",2014,0,5.1,89885,10,11.0

