The Gunman,"Action, Crime, Drama","A sniper on a mercenary assassination team","Pierre Morel","Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",2015,0,5.8,31194,10,11.0
Magic Mike XXL,"Comedy, Drama, Music","Three years after Mike bowed out of the stripper life at the top of his game","Gregory Jacobs","Channing Tatum, Joe Manganiello, Matt Bomer, Adam Rodriguez",2015,0,5.7,42506,10,11.0
Pixels,"Action, Comedy, Family","When aliens misinterpret video feeds of classic arcade games as a declaration of war","Chris Columbus","Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",2015,0,5.6,101092,10,11.0
Point Break,"Action, Crime, Sport","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented","Ericson Core","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,0,5.3,44553,10,11.0
The Rise of the Krays,"Crime, Drama","Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.","Zackary Adler","Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles",2015,0,5.1,1630,10,11.0
The Ridiculous 6,"Comedy, Western","An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward","Frank Coraci","Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",2015,0,4.8,31149,10,11.0
The Boy Next Door,"Mystery, Thriller","A woman","Rob Cohen","Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",2015,0,4.6,30180,10,11.0
Fantastic Four,"Action, Adventure, Sci-Fi","Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.","Josh Trank","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,0,4.3,121847,10,11.0

