The Mortal Instruments: City of Bones,"Action, Fantasy, Horror","When her mother disappears","Harald Zwart","Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West",2013,0,5.9,112313,null,0.0
The Green Inferno,"Adventure, Horror","A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone","Eli Roth","Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton",2013,0,5.4,26461,null,0.0
The Counselor,"Crime, Drama, Thriller","A lawyer finds himself in over his head when he gets involved in drug trafficking.","Ridley Scott","Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem",2013,0,5.3,84927,null,0.0
Movie 43,"Comedy, Romance","A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.","Elizabeth Banks","Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber",2013,0,4.3,83625,null,0.0

